Address,Contract Name,Compiler,Balance,Tx count,Date verified
0x13ca82a039fb510c4110c75a833160dbc8f203e1,FixedSupplyToken,v0.4.25,0 ,1,10/9/2018
0x098332c29f4b1b11f69d6988fdfdfb09120e43c4,CREXToken, v0.4.16,0 ,1,10/9/2018
0x85d2b1cb300a51ccf929d109611c1301727aea0b,fathercontract, v0.4.24,0 ,3,10/9/2018
0x194ace13897d0457ade173d2ce0cd5404c6dc49e,BOOMCOIN,v0.4.25,0 ,1,10/9/2018
0x348fcc80a18b6c247ce2889bfc063e281a4e2951,CompliantCrowdsale, v0.4.24,0.0000000007 ,12,10/9/2018
0x7145c2f2d3900e85a3270ddba8468a77738dc6fe,CompliantToken, v0.4.24,0 ,3,10/9/2018
0x805ad6bcc9879b904f926192748cab3571072104,nOS,v0.4.25,0 ,2,10/9/2018
0x22933c4b4888ff40177cc29173948246cd9d2d4d,DSDToken,v0.4.25,0 ,3,10/9/2018
0x3c0cd870bb7ed4dadd80c8313645b9107b34e259,StrongHandsManager,v0.4.25,0 ,2,10/9/2018
0x4ff02a7e041c72d8c0f58507b6543aac893566e1,GriffinToken, v0.4.22,0 ,1,10/9/2018
0xeb9114b0389b72d7f0458467661b1d932666a211,Voicecoin,v0.4.25,0 ,1,10/9/2018
0x4556a66dcb18a31256450d11cd0baf7051441656,AIW, v0.4.21,0 ,3,10/9/2018
0x83fccc659eeeee98ca9764b7b34409347dfbc98b,ethernity, v0.4.24,0 ,1,10/9/2018
0x3a4b1eca26955fba4b99f78ee36153eacdceae85,EdexStore, v0.4.24,0 ,5,10/9/2018
0xabba54db28a082d43f62341c0027addb325c7783,SFT,v0.4.25,0 ,2,10/9/2018
0x662bb9901a50369d0502902ab529f6bc99c84243,Built, v0.4.21,0 ,6,10/9/2018
0x19b369f69bc5bd6aadc4d30c179c8ac5ae6cbae0,EarnEveryDay_255,v0.4.25,0.095 ,3,10/9/2018
0x9d79c6e2a0222b9ac7bfabc447209c58fe9e0dcc,ZCFees,v0.4.25,0 ,1,10/9/2018
0x0c9ab9da207a845bf48b2016e8957e2e4b6ee5f7,EcomCapital,v0.4.25,0 ,1,10/9/2018
0x7db6122f3a819f4b056256291748c0999c76e918,Etherbank, v0.4.24,0 ,1,10/9/2018
0x6d619177baec91ce87165caa701a5fdd3e0f7b30,AirpayToken,v0.4.25,0 ,1,10/9/2018
0x660c46a5650fb0619f603a2f4d73a1cdf8cd00d6,Reternal, v0.4.24,0.2 ,3,10/9/2018
0x275c62ee45c7d4d7fc71af52d3fe0019f414e5dc,TalaRCrowdsale, v0.4.24,0 ,1,10/9/2018
0x212ae2172439358c588170166fde7d57bca9d4a8,EthereumSecure, v0.4.24,0 ,4,10/9/2018
0xbfb3b6972a814e2f6ed6d6fb9f9e47cd0b13720a,SafeDivs, v0.4.24,0 ,1,10/9/2018
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,GreenEthereus,v0.4.25,13.584776296296296298 ,13,10/9/2018
0x0c87a844fa0add2fae644e5cb56251e61c3923e4,EasyInvest, v0.4.24,0 ,1,10/9/2018
0x0073e5e52e2b4fe218d75d994ee2b3c82f9c87ea,Proxy,v0.4.25,0 ,6,10/9/2018
0xc39459f4d3d9c87551f7c0fb0982bfea0d14dda6,WCG,v0.4.25,0.11 ,2,10/9/2018
0x3aa531e07a0d13a0ea39baaba183c32a1b0cffb1,TalarToken, v0.4.24,0 ,2,10/9/2018
0x3619e0299f9c3f5c6502abdabf77d246fd328ea5,CryptoMinerToken3,v0.4.25,5 ,2,10/9/2018
0xf41440C6070115440F0402cCe6ee216e26522892,GenesisProtocol, v0.4.24,0 ,1,10/9/2018
0xb54c9fa2a504cd078c69956020a6b45bc9657f5f,ProofofNoDump,v0.4.25,61.080605833425976669 ,188,10/9/2018
0x9bddf5038d5d20edc97f19018d93e848188e9731,PreICO, v0.4.18,0.000000006 ,12,10/9/2018
0x1ad30185fdf3d700949203b9a2baef0337ffb7de,GreenEthereus,v0.4.25,0 ,3,10/9/2018
0x2d9da30a2c607c9dfe54afd513e05e06561408e3,NODVIXToken, v0.4.18,0.000000006 ,2,10/9/2018
0xa1ad52ff49fc70b7920b7d02483a58beb15d492b,FoMo3Dlong,v0.4.25,1.121076008065387603 ,99,10/9/2018
0x0f840079fabe2f43d218e4eca239eae2cc160bad,BCTCToken, v0.4.24,0 ,3,10/9/2018
0x498442b0e1c71a11d61409e2b91e83d38ed2f221,BMKC, v0.4.24,0 ,2,10/9/2018
0xa86ba3b6d83139a49b649c05dbb69e0726db69cf,OwnedRegistrar,v0.4.25,0 ,10,10/9/2018
0x516d81a212ad95e6fc9eaa586b7e12e58d5129a9,fathercontract, v0.4.24,0 ,12,10/9/2018
0x9238f5aec2db302064d82954a8a71f297d83965d,HumanStandardToken,v0.4.25,0 ,2,10/9/2018
0x2c4089c8bae4b9364d830755874c657401ea6e9d,fathercontract, v0.4.24,0 ,2,10/9/2018
0xe6dfef4dee6b4cda74db647eb07d78c0fbc62144,DigitalGame, v0.4.24,0.0097 ,7,10/9/2018
0xe2c43d2c6d6875c8f24855054d77b5664c7e810f,CozyTimeAuction,v0.4.25,0 ,1,10/9/2018
0xf8928417f49e520e201576cf34019059c427a75f,HyperionAirdrop, v0.4.24,0 ,3,10/9/2018
0x28ae3df366726d248c57b19fa36f6d9c228248be,PepeAuctionSale,v0.4.25,0 ,1,10/9/2018
0x4ad96fc9f73f84ce7c543af44bdb0279b95a422b,CIPToken,v0.4.25,0.03 ,3,10/9/2018
0x91ed8fbf68653c734a6bdda57f0db76df6b197e9,fathercontract, v0.4.24,0 ,2,10/9/2018
0x08014573ff457d8e08d6fbf2813617def4f28e54,Affiliate,v0.4.25,0 ,4,10/9/2018
0xe99a894a69d7c2e3c92e61b64c505a6a57d2bc07,Hyperion, v0.4.24,0 ,3,10/9/2018
0xbc2afc039d2bfa67d582ac181dab5be17ec91f82,Mining,v0.4.25,0 ,1,10/9/2018
0x98bdbc858822415c626c13267594fbc205182a1f,Millionaire,v0.4.25,0 ,1,10/9/2018
0x20da2ff263e28e8db8ef44f590ff4576bac770e2,MilFold,v0.4.25,0 ,1,10/9/2018
0x20dd41c880bccb59ccb905d86a8d66e6c24cd69c,DeClubToken, v0.4.24,0 ,1,10/9/2018
0x0d2b775a17a973049345afce12c064e4b7121810,KOKC, v0.4.24,0 ,2,10/9/2018
0x56d20d6736da48d628fde1544c0986e02d92b842,EarnEveryDay_v1_355,v0.4.25,0.0095 ,4,10/9/2018
0x25b8f77fba9bc804681eb1d7f73776c98c9b52b8,DeClubToken, v0.4.24,0 ,1,10/9/2018
0xd4dd63d658f603e9a0aa381e103e05457cd5e609,PepeGrinder,v0.4.25,0 ,2,10/9/2018
0xc5b77141ded2fa62c05997635631d66b9067e0bc,WaltonTokenLocker, v0.4.11,0 ,1,10/9/2018
0x0f717ffff71e639636fcdd33727ee8c17c4724bf,PlayerBook,v0.4.25,0.2 ,3,10/9/2018
0x84ac94f17622241f313511b629e5e98f489ad6e4,PepeBase,v0.4.25,0 ,5,10/9/2018
